"EMPLOYMENT STATUS - IMPUTATION REVISED","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"3 - Unemployed","VA","0.001","0.0002","0.001","0.002","0.024","0.0036","0.018","0.033","0.046","0.0062","0.035","0.059","330000","N/A","49000"
"4 - Other","VA","0.008","0.0005","0.008","0.01","0.023","0.0014","0.021","0.026","0.329","0.014","0.302","0.357","2384000","N/A","146000"
"99 - 12-14 year olds","VA","0.001","0.0001","0.001","0.001","0.026","0.0023","0.022","0.031","0.047","0.0031","0.041","0.053","337000","N/A","31000"
"Overall","VT","0.002","0.0002","0.002","0.002","0.002","0.0002","0.002","0.002","1","0","N/A","N/A","568000","N/A","45000"
"1 - Employed full time","VT","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.003","0.449","0.0244","0.402","0.498","255000","N/A","25000"
"2 - Employed part time","VT","0","0","0","0","0.002","0.0003","0.002","0.003","0.143","0.0129","0.119","0.17","81000","N/A","9000"
"3 - Unemployed","VT","0","0","0","0","0.001","0.0003","0.001","0.002","0.034","0.0081","0.021","0.054","19000","N/A","5000"
"4 - Other","VT","0.001","0.0001","0.001","0.001","0.002","0.0002","0.002","0.002","0.341","0.0253","0.293","0.392","194000","N/A","22000"
"99 - 12-14 year olds","VT","0","0","0","0","0.001","0.0002","0.001","0.002","0.033","0.0043","0.026","0.043","19000","N/A","3000"
"Overall","WA","0.023","0.0016","0.02","0.027","0.023","0.0016","0.02","0.027","1","0","N/A","N/A","6575000","N/A","455000"
"1 - Employed full time","WA","0.01","0.0008","0.009","0.012","0.024","0.0019","0.021","0.028","0.429","0.0155","0.399","0.46","2820000","N/A","220000"
"2 - Employed part time","WA","0.003","0.0004","0.003","0.004","0.026","0.0028","0.021","0.032","0.138","0.011","0.118","0.161","906000","N/A","100000"
"3 - Unemployed","WA","0.001","0.0001","0.001","0.001","0.017","0.0029","0.012","0.024","0.035","0.0061","0.025","0.049","229000","N/A","39000"
"4 - Other","WA","0.008","0.0007","0.007","0.01","0.022","0.002","0.019","0.027","0.348","0.0165","0.316","0.381","2288000","N/A","203000"
"99 - 12-14 year olds","WA","0.001","0.0001","0.001","0.001","0.025","0.0028","0.02","0.032","0.05","0.0056","0.041","0.063","332000","N/A","37000"
"Overall","WI","0.018","0.0011","0.016","0.02","0.018","0.0011","0.016","0.02","1","0","N/A","N/A","5031000","N/A","296000"
"1 - Employed full time","WI","0.008","0.0006","0.007","0.009","0.02","0.0013","0.017","0.023","0.459","0.0165","0.427","0.492","2310000","N/A","158000"
"2 - Employed part time","WI","0.002","0.0002","0.002","0.003","0.019","0.0016","0.016","0.022","0.129","0.0094","0.111","0.148","648000","N/A","57000"
"3 - Unemployed","WI","0","0.0001","0","0.001","0.009","0.0015","0.006","0.012","0.024","0.0039","0.017","0.033","120000","N/A","21000"
"4 - Other","WI","0.006","0.0005","0.005","0.007","0.017","0.0014","0.014","0.02","0.341","0.0171","0.308","0.375","1714000","N/A","140000"
"99 - 12-14 year olds","WI","0.001","0.0001","0.001","0.001","0.018","0.002","0.015","0.023","0.048","0.0047","0.039","0.058","239000","N/A","26000"
"Overall","WV","0.005","0.0005","0.005","0.006","0.005","0.0005","0.005","0.006","1","0","N/A","N/A","1525000","N/A","136000"
"1 - Employed full time","WV","0.001","0.0002","0.001","0.002","0.004","0.0004","0.003","0.004","0.273","0.0214","0.233","0.317","417000","N/A","48000"
"2 - Employed part time","WV","0.001","0.0001","0","0.001","0.005","0.0007","0.004","0.006","0.111","0.0123","0.089","0.137","169000","N/A","25000"
"3 - Unemployed","WV","0","0.0001","0","0.001","0.008","0.0018","0.005","0.013","0.073","0.0133","0.051","0.104","111000","N/A","25000"
"4 - Other","WV","0.003","0.0003","0.002","0.003","0.007","0.0007","0.006","0.009","0.504","0.0203","0.465","0.544","769000","N/A","72000"
"99 - 12-14 year olds","WV","0","0","0","0","0.005","0.0006","0.003","0.006","0.039","0.0042","0.031","0.048","59000","N/A","8000"
"Overall","WY","0.002","0.0001","0.002","0.002","0.002","0.0001","0.002","0.002","1","0","N/A","N/A","488000","N/A","34000"
"1 - Employed full time","WY","0.001","0.0001","0.001","0.001","0.002","0.0002","0.001","0.002","0.401","0.0228","0.357","0.446","196000","N/A","21000"
"2 - Employed part time","WY","0","0","0","0","0.002","0.0002","0.001","0.002","0.126","0.013","0.103","0.154","62000","N/A","8000"
"3 - Unemployed","WY","0","0","0","0","0.002","0.0004","0.001","0.003","0.044","0.0097","0.028","0.067","21000","N/A","5000"
"4 - Other","WY","0.001","0.0001","0.001","0.001","0.002","0.0001","0.002","0.002","0.376","0.0269","0.325","0.43","183000","N/A","15000"
"99 - 12-14 year olds","WY","0","0","0","0","0.002","0.0003","0.002","0.003","0.053","0.0065","0.042","0.068","26000","N/A","3000"
