"RC-ADULT AGE CATEGORY RECODE","STATE US ABBREVIATION","Total %","Total % SE","Total % CI (lower)","Total % CI (upper)","Row %","Row % SE","Row % CI (lower)","Row % CI (upper)","Column %","Column % SE","Column % CI (lower)","Column % CI (upper)","Weighted Count","Count","Count SE"
"3 - 35-49 Years Old","DE","0.001","0.0001","0.001","0.001","0.003","0.0002","0.002","0.003","0.204","0.0118","0.182","0.228","182000","N/A","14000"
"4 - 50 or Older","DE","0.001","0.0001","0.001","0.002","0.003","0.0002","0.003","0.004","0.474","0.0194","0.436","0.512","423000","N/A","25000"
"5 - 12-17 Years Old","DE","0","0","0","0","0.003","0.0003","0.002","0.004","0.085","0.0074","0.071","0.101","76000","N/A","7000"
"Overall","FL","0.069","0.0027","0.064","0.075","0.069","0.0027","0.064","0.075","1","0","N/A","N/A","19799000","N/A","803000"
"1 - 18-25 Years Old","FL","0.007","0.0005","0.006","0.008","0.06","0.0037","0.053","0.068","0.105","0.0066","0.093","0.119","2078000","N/A","133000"
"2 - 26-34 Years Old","FL","0.009","0.0005","0.008","0.01","0.063","0.0037","0.056","0.071","0.129","0.0065","0.117","0.142","2556000","N/A","156000"
"3 - 35-49 Years Old","FL","0.015","0.0008","0.013","0.016","0.066","0.0033","0.06","0.073","0.214","0.0089","0.197","0.232","4243000","N/A","221000"
"4 - 50 or Older","FL","0.033","0.0018","0.029","0.037","0.077","0.0043","0.07","0.086","0.473","0.0146","0.444","0.501","9355000","N/A","544000"
"5 - 12-17 Years Old","FL","0.005","0.0003","0.005","0.006","0.06","0.0037","0.054","0.068","0.079","0.0039","0.072","0.087","1567000","N/A","98000"
"Overall","GA","0.033","0.0017","0.029","0.036","0.033","0.0017","0.029","0.036","1","0","N/A","N/A","9294000","N/A","506000"
"1 - 18-25 Years Old","GA","0.004","0.0004","0.003","0.005","0.034","0.003","0.028","0.04","0.124","0.0093","0.107","0.144","1157000","N/A","104000"
"2 - 26-34 Years Old","GA","0.005","0.0004","0.004","0.005","0.033","0.0026","0.028","0.038","0.144","0.0091","0.127","0.162","1336000","N/A","106000"
"3 - 35-49 Years Old","GA","0.007","0.0006","0.006","0.009","0.033","0.0028","0.028","0.039","0.23","0.0135","0.204","0.257","2133000","N/A","182000"
"4 - 50 or Older","GA","0.013","0.001","0.011","0.015","0.031","0.0023","0.027","0.036","0.403","0.0179","0.369","0.439","3749000","N/A","279000"
"5 - 12-17 Years Old","GA","0.003","0.0002","0.003","0.004","0.035","0.0027","0.031","0.041","0.099","0.0077","0.085","0.115","919000","N/A","71000"
"Overall","HI","0.004","0.0003","0.004","0.005","0.004","0.0003","0.004","0.005","1","0","N/A","N/A","1196000","N/A","87000"
"1 - 18-25 Years Old","HI","0","0.0001","0","0.001","0.003","0.0005","0.003","0.004","0.098","0.0146","0.073","0.13","117000","N/A","16000"
"2 - 26-34 Years Old","HI","0.001","0","0","0.001","0.004","0.0003","0.003","0.004","0.128","0.0092","0.111","0.147","153000","N/A","12000"
"3 - 35-49 Years Old","HI","0.001","0.0001","0.001","0.001","0.004","0.0004","0.003","0.005","0.223","0.0123","0.2","0.248","267000","N/A","25000"
"4 - 50 or Older","HI","0.002","0.0002","0.002","0.002","0.005","0.0005","0.004","0.006","0.469","0.0242","0.422","0.517","561000","N/A","61000"
"5 - 12-17 Years Old","HI","0","0","0","0","0.004","0.0003","0.003","0.004","0.082","0.0055","0.072","0.093","98000","N/A","7000"
"Overall","IA","0.009","0.0007","0.008","0.011","0.009","0.0007","0.008","0.011","1","0","N/A","N/A","2710000","N/A","192000"
"1 - 18-25 Years Old","IA","0.001","0.0001","0.001","0.002","0.01","0.0011","0.009","0.013","0.133","0.0105","0.114","0.155","360000","N/A","37000"
"2 - 26-34 Years Old","IA","0.001","0.0001","0.001","0.002","0.009","0.0009","0.007","0.011","0.132","0.0121","0.11","0.158","359000","N/A","37000"
"3 - 35-49 Years Old","IA","0.002","0.0002","0.002","0.002","0.009","0.0007","0.008","0.011","0.215","0.01","0.196","0.236","584000","N/A","45000"
"4 - 50 or Older","IA","0.004","0.0004","0.003","0.005","0.01","0.0009","0.008","0.011","0.424","0.0195","0.386","0.462","1149000","N/A","105000"
"5 - 12-17 Years Old","IA","0.001","0.0001","0.001","0.001","0.01","0.0012","0.008","0.013","0.095","0.0084","0.08","0.113","259000","N/A","31000"
"Overall","ID","0.006","0.0004","0.005","0.007","0.006","0.0004","0.005","0.007","1","0","N/A","N/A","1662000","N/A","128000"
"1 - 18-25 Years Old","ID","0.001","0.0001","0.001","0.001","0.006","0.0007","0.005","0.008","0.131","0.0125","0.109","0.158","218000","N/A","24000"
"2 - 26-34 Years Old","ID","0.001","0.0001","0.001","0.001","0.006","0.0007","0.004","0.007","0.136","0.0132","0.112","0.164","227000","N/A","27000"
"3 - 35-49 Years Old","ID","0.001","0.0001","0.001","0.002","0.006","0.0005","0.005","0.007","0.224","0.0117","0.201","0.247","372000","N/A","33000"
"4 - 50 or Older","ID","0.002","0.0002","0.002","0.003","0.006","0.0005","0.005","0.007","0.406","0.0231","0.361","0.452","675000","N/A","66000"
"5 - 12-17 Years Old","ID","0.001","0.0001","0","0.001","0.007","0.0011","0.005","0.009","0.103","0.0128","0.08","0.131","171000","N/A","28000"
"Overall","IL","0.038","0.0017","0.034","0.041","0.038","0.0017","0.034","0.041","1","0","N/A","N/A","10747000","N/A","501000"
"1 - 18-25 Years Old","IL","0.005","0.0004","0.004","0.005","0.038","0.0032","0.032","0.044","0.121","0.0089","0.104","0.139","1298000","N/A","110000"
"2 - 26-34 Years Old","IL","0.005","0.0004","0.005","0.006","0.037","0.0025","0.033","0.043","0.142","0.0079","0.127","0.158","1523000","N/A","103000"
"3 - 35-49 Years Old","IL","0.008","0.0005","0.008","0.01","0.038","0.0022","0.034","0.042","0.226","0.0091","0.208","0.244","2428000","N/A","142000"
"4 - 50 or Older","IL","0.016","0.001","0.014","0.018","0.037","0.0024","0.033","0.042","0.42","0.0156","0.39","0.451","4516000","N/A","290000"
"5 - 12-17 Years Old","IL","0.003","0.0003","0.003","0.004","0.038","0.0028","0.033","0.044","0.091","0.0053","0.082","0.102","982000","N/A","73000"
"Overall","IN","0.02","0.0013","0.018","0.023","0.02","0.0013","0.018","0.023","1","0","N/A","N/A","5777000","N/A","364000"
"1 - 18-25 Years Old","IN","0.003","0.0002","0.002","0.003","0.022","0.0018","0.018","0.025","0.129","0.0096","0.112","0.149","747000","N/A","62000"
"2 - 26-34 Years Old","IN","0.003","0.0002","0.002","0.003","0.02","0.0017","0.017","0.023","0.139","0.01","0.121","0.16","803000","N/A","69000"
"3 - 35-49 Years Old","IN","0.004","0.0004","0.004","0.005","0.02","0.0018","0.017","0.023","0.219","0.0156","0.19","0.251","1263000","N/A","113000"
"4 - 50 or Older","IN","0.008","0.0008","0.007","0.01","0.02","0.0018","0.017","0.024","0.416","0.0222","0.373","0.46","2403000","N/A","219000"
"5 - 12-17 Years Old","IN","0.002","0.0002","0.002","0.002","0.022","0.0025","0.017","0.027","0.097","0.0085","0.082","0.115","561000","N/A","66000"
"Overall","KS","0.009","0.0006","0.007","0.01","0.009","0.0006","0.007","0.01","1","0","N/A","N/A","2451000","N/A","166000"
"1 - 18-25 Years Old","KS","0.001","0.0001","0.001","0.001","0.01","0.0008","0.008","0.011","0.134","0.0107","0.115","0.157","329000","N/A","28000"
"2 - 26-34 Years Old","KS","0.001","0.0001","0.001","0.001","0.008","0.0007","0.007","0.01","0.134","0.0099","0.116","0.155","329000","N/A","29000"
"3 - 35-49 Years Old","KS","0.002","0.0002","0.002","0.002","0.008","0.0008","0.007","0.01","0.219","0.0117","0.197","0.243","538000","N/A","48000"
"4 - 50 or Older","KS","0.004","0.0003","0.003","0.004","0.008","0.0008","0.007","0.01","0.411","0.0183","0.376","0.447","1007000","N/A","94000"
"5 - 12-17 Years Old","KS","0.001","0.0001","0.001","0.001","0.01","0.0011","0.008","0.012","0.101","0.0111","0.082","0.125","249000","N/A","30000"
"Overall","KY","0.013","0.0007","0.012","0.015","0.013","0.0007","0.012","0.015","1","0","N/A","N/A","3810000","N/A","210000"
"1 - 18-25 Years Old","KY","0.002","0.0001","0.001","0.002","0.013","0.0011","0.011","0.016","0.12","0.0107","0.101","0.143","458000","N/A","39000"
"2 - 26-34 Years Old","KY","0.002","0.0002","0.002","0.002","0.013","0.0011","0.011","0.015","0.137","0.0118","0.115","0.162","522000","N/A","46000"
